"ID";"FullName";"global_id";"ShortName";"AdmArea";"District";"Address";"Owner";"TestDate";"geodata_center";"geoarea";
"Код";"Полное официальное наименование";"global_id";"Сокращенное наименование";"Административный округ";"Район";"Адрес";"Наименование компании";"Дата проверки";"geodata_center";"geoarea";
"163";"Автомобильная заправочная станция «Шелл Нефть» на Сельскохозяйственной улице, дом 40";"14154643";"АЗС «Шелл Нефть» на Сельскохозяйственной улице, дом 40";"Северо-Восточный административный округ";"район Свиблово";"Сельскохозяйственная улица, дом 40";"ООО «Шелл Нефть»";"05.05.2015";"";"";
"164";"Автомобильная заправочная станция «Шелл Нефть» на Большой Оленьей улице, владение 18";"14154644";"АЗС «Шелл Нефть» на Большой Оленьей улице, владение 18";"Восточный административный округ";"район Сокольники";"Большая Оленья улица, владение 18";"ООО «Шелл Нефть»";"05.05.2015";"";"";
"165";"Автомобильная заправочная станция «Шелл Нефть» в Юрьевском переулке, дом 17, владение 1";"14154645";"АЗС «Шелл Нефть» в Юрьевском переулке, дом 17, владение 1";"Юго-Восточный административный округ";"район Лефортово";"Юрьевский переулок, дом 17, владение 1";"ООО «Шелл Нефть»";"05.05.2015";"";"";
"166";"Автомобильная заправочная станция «Шелл Нефть» на Каширском шоссе, владение 150";"14154646";"АЗС «Шелл Нефть» на Каширском шоссе, владение 150";"Южный административный округ";"район Орехово-Борисово Южное";"Каширское шоссе, владение 150";"ООО «Шелл Нефть»";"07.05.2015";"";"";
"167";"Автомобильная заправочная станция «Шелл Нефть» на улице Марьинский парк, дом 12";"14154647";"АЗС «Шелл Нефть» на улице Марьинский парк, дом 12";"Юго-Восточный административный округ";"район Марьино";"улица Марьинский парк, дом 12";"ООО «Шелл Нефть»";"07.05.2015";"";"";
"168";"Автомобильная заправочная станция «Шелл Нефть» на улице Перерва, дом 65, строение 1";"14154648";"АЗС «Шелл Нефть» на улице Перерва, дом 65, строение 1";"Юго-Восточный административный округ";"район Марьино";"улица Перерва, дом 65, строение 1";"ООО «Шелл Нефть»";"07.05.2015";"";"";
"169";"Автомобильная заправочная станция «Шелл Нефть» на Волгоградском проспекте, владение 79, строение 1";"14154649";"АЗС «Шелл Нефть» на Волгоградском проспекте, владение 79, строение 1";"Юго-Восточный административный округ";"район Текстильщики";"Волгоградский проспект, владение 79, строение 1";"ООО «Шелл Нефть»";"07.05.2015";"";"";
"171";"Автомобильная заправочная станция «Опора» в городе Троицк, микрорайон В, дом 63";"14155100";"АЗС «Опора» в городе Троицк, микрорайон В, дом 63";"Троицкий административный округ";"поселение Троицк";"город Троицк, микрорайон В, дом 63";"ООО «Опора»";"26.05.2016";"";"";
"172";"Автомобильная заправочная станция «РН-Москва» на 41-м километре Калужского шоссе";"14155102";"АЗС «РН-Москва» на 41-м километре Калужского шоссе";"Троицкий административный округ";"поселение Троицк";"41-й километр Калужского шоссе";"ОАО «РН-Москва»";"19.05.2015";"";"";
"173";"Автомобильная заправочная станция «Филатов В.А.» в Зеленограде, на Заводской улице, дом 38";"14155103";"АЗС «Филатов В.А.» в Зеленограде, на Заводской улице, дом 38";"Зеленоградский административный округ";"район Крюково";"Зеленоград, Заводская улиц, дом 38";"ИП «Филатов В.А.»";"20.05.2015";"";"";
"174";"Автомобильная заправочная станция «ТК Нефтепродуктсервис» на Осташковской улице, владение 18А";"14155112";"АЗС «ТК Нефтепродуктсервис» на Осташковской улице, владение 18А";"Северо-Восточный административный округ";"Лосиноостровский район";"Осташковская улица, владение 18А";"ООО «ТК Нефтепродуктсервис»";"22.05.2015";"";"";
"175";"Автомобильная заправочная станция «НБА-Северо-Запад» на Полярной улице, владение 37В";"14155115";"АЗС «НБА-Северо-Запад» на Полярной улице, владение 37В";"Северо-Восточный административный округ";"район Северное Медведково";"Полярная улица, владение 37В";"ООО «НБА-Северо-Запад»";"22.05.2015";"";"";
"176";"Автомобильная заправочная станция «ТрансАЗС» на Полярном проезде, владение 4А";"14155117";"АЗС «ТрансАЗС» на Полярном проезде, владение 4А";"Северо-Восточный административный округ";"район Северное Медведково";"Полярный проезд, владение 4А";"ЗАО «ТрансАЗС»";"22.05.2015";"";"";
"177";"Автомобильная заправочная станция «ЕКА-АЗС» на Сокольнической 5-й улице, владение 16А";"14155120";"АЗС «ЕКА-АЗС» на Сокольнической 5-й улице, владение 16А";"Восточный административный округ";"район Сокольники";"Сокольническая 5-я улица, владение 16А";"ООО «ЕКА-АЗС»";"25.05.2015";"";"";
"178";"Автомобильная заправочная станция «Сервис ФСП» на Краснобогатырской улице, владение 22";"14155122";"АЗС «Сервис ФСП» на Краснобогатырской улице, владение 22";"Восточный административный округ";"район Богородское";"Краснобогатырская улица, владение 22";"ООО «Сервис ФСП»";"25.05.2015";"";"";
"179";"Автомобильная заправочная станция «Долус» на Большой Косинской улице, владение 1Г";"14155124";"АЗС «Долус» на Большой Косинской улице, владение 1Г";"Восточный административный округ";"район Косино-Ухтомский";"Большая Косинская улица, владение 1Г";"ЗАО «Долус»";"18.12.2020";"";"";
"180";"Автомобильная заправочная станция «УК НИКОЙЛ» на Шоссейной улице, дом 88";"14155126";"АЗС «УК НИКОЙЛ» на Шоссейной улице, дом 88";"Юго-Восточный административный округ";"район Печатники";"Шоссейная улица, дом 88";"ООО «УК НИКОЙЛ»";"16.05.2017";"";"";
"181";"Автомобильная заправочная станция «Механизация-2» на Южнопортовой улице, дом 17";"14155135";"АЗС «Механизация-2» на Южнопортовой улице, дом 17";"Юго-Восточный административный округ";"район Печатники";"Южнопортовая улица, дом 17";"ОАО «Механизация-2»";"26.05.2015";"";"";
"182";"Автомобильная заправочная станция «АРС» на улице Садовники, дом 11А, строение 1";"14155137";"АЗС «АРС» на улице Садовники, дом 11А, строение 1";"Южный административный округ";"район Нагатино-Садовники";"улица Садовники, дом 11А, строение 1";"ООО «АРС»";"18.08.2017";"";"";
"183";"Автомобильная заправочная станция «НБА-Северо-Запад» на проспекте Андропова, дом 9, строение 1";"14155138";"АЗС «НБА-Северо-Запад» на проспекте Андропова, дом 9, строение 1";"Южный административный округ";"район Нагатинский Затон";"проспект Андропова, дом 9, строение 1";"ООО «НБА-Северо-Запад»";"27.05.2015";"";"";
"184";"Автомобильная заправочная станция «ЕКА-АЗС» на улице Подольских курсантов, владение 26А";"14155139";"АЗС «ЕКА-АЗС» на улице Подольских курсантов, владение 26А";"Южный административный округ";"район Бирюлёво Западное";"улица Подольских курсантов, владение 26А";"ООО «ЕКА-АЗС»";"27.05.2015";"";"";
"185";"Автомобильная заправочная станция «Фортекс» на улице Обручева, дом 50";"14155140";"АЗС «Фортекс» на улице Обручева, дом 50";"Юго-Западный административный округ";"район Коньково";"улица Обручева, дом 50";"ООО «Фортекс»";"21.11.2017";"";"";
"186";"Автомобильная заправочная станция «НБА-Северо-Запад» на улице Обручева, дом 25А";"14155141";"АЗС «НБА-Северо-Запад» на улице Обручева, дом 25А";"Юго-Западный административный округ";"Обручевский район";"улица Обручева, дом 25А";"ООО «НБА-Северо-Запад»";"28.05.2015";"";"";
"187";"Автомобильная заправочная станция «НБА-Северо-Запад» на Нахимовском проспекте, дом 21, строение 1";"14155142";"АЗС «НБА-Северо-Запад» на Нахимовском проспекте, дом 21, строение 1";"Юго-Западный административный округ";"район Зюзино";"Нахимовский проспект, дом 21, строение 1";"ООО «НБА-Северо-Запад»";"28.05.2015";"";"";
"188";"Автомобильная заправочная станция «НБА-Северо-Запад» в Лесном 4-м переулке, владение 2";"14155143";"АЗС «НБА-Северо-Запад» в Лесном 4-м переулке, владение 2";"Центральный административный округ";"Тверской район";"Лесной 4-й переулок, владение 2";"ООО «НБА-Северо-Запад»";"29.05.2015";"";"";
"189";"Автомобильная заправочная станция «ЭНИ-НЕФТО» на Ленинградском шоссе, дом 63Г";"14155144";"АЗС «ЭНИ-НЕФТО» на Ленинградском шоссе, дом 63Г";"Северный административный округ";"район Левобережный";"Ленинградское шоссе, дом 63Г";"ООО «ЭНИ-НЕФТО»";"01.06.2015";"";"";
"190";"Автомобильная заправочная станция «Шелл Нефть» на Ленинградском шоссе, владение 47А";"14155145";"АЗС «Шелл Нефть» на Ленинградском шоссе, владение 47А";"Северный административный округ";"Головинский район";"Ленинградское шоссе, владение 47А";"ООО «Шелл Нефть»";"01.06.2015";"";"";
"191";"Автомобильная заправочная станция «Интеройл» на улице Зенитчиков, дом 7";"14155146";"АЗС «Интеройл» на улице Зенитчиков, дом 7";"Северо-Западный административный округ";"район Митино";"улица Зенитчиков, дом 7";"ООО НГК «Интеройл»";"02.06.2015";"";"";
"192";"Автомобильная заправочная станция «Газпромнефть-Северо-Запад» на Кутузовском проспекте, владение 52";"14155147";"АЗС «Газпромнефть-Северо-Запад» на Кутузовском проспекте, владение 52";"Западный административный округ";"район Фили-Давыдково";"Кутузовский проспект, владение 52";"ЗАО «Газпромнефть-Северо-Запад»";"03.06.2015";"";"";
"193";"Автомобильная заправочная станция «НБА-Северо-Запад» на набережной Тараса Шевченко";"14155148";"АЗС «НБА-Северо-Запад» на набережной Тараса Шевченко";"Западный административный округ";"район Дорогомилово";"набережная Тараса Шевченко";"ООО «НБА-Северо-Запад»";"03.06.2015";"";"";
"194";"Автомобильная заправочная станция «Лукойл-Центрнефтепродукт» на Боровском шоссе, дом 2, строение 1";"14155149";"АЗС «Лукойл-Центрнефтепродукт» на Боровском шоссе, дом 2, строение 1";"Западный административный округ";"район Солнцево";"Боровское шоссе, дом 2, строение 1";"ООО «Лукойл-Центрнефтепродукт»";"03.06.2015";"";"";
"195";"Автомобильная заправочная станция «Саган» на Симферопольском шоссе, дом 9";"25747449";"АЗС «Саган» на Симферопольском шоссе, дом 9";"Новомосковский административный округ";"поселение Щербинка";"Симферопольское шоссе, дом 9";"ООО «Саган»";"01.07.2015";"";"";
"196";"Автомобильная заправочная станция «Федонин В.Г.» на Симферопольском шоссе, дом 1, строение 1";"25748908";"АЗС «Федонин В.Г.» на Симферопольском шоссе, дом 1, строение 1";"Новомосковский административный округ";"поселение Щербинка";"Симферопольское шоссе, дом 1, строение 1";"ИП Федонин В.Г.";"01.07.2015";"";"";
"197";"Автомобильная заправочная станция «Буран Петрол» на 58-м километре Калужского шоссе";"25751810";"АЗС «Буран Петрол» на 58-м километре Калужского шоссе";"Троицкий административный округ";"поселение Вороновское";"58-й километр Калужского шоссе";"ООО «Буран Петрол»";"05.05.2016";"";"";
"198";"Автомобильная заправочная станция «ТРГ-Центр» в поселении Вороновское";"25754680";"АЗС «ТРГ-Центр» в поселении Вороновское";"Троицкий административный округ";"поселение Вороновское";"поселение Вороновское";"ООО «ТРГ-Центр»";"03.07.2015";"";"";
